time,pos_x,pos_y,pos_z,pos_phi
67.084,228.241,-60.6078,68.1736,10
67.095,228.239,-61.0506,68.0871,10
67.105,228.239,-61.4536,68.0083,10
67.116,228.238,-61.8972,67.9215,10
67.126,228.238,-62.3009,67.8424,10
67.137,228.238,-62.7454,67.7552,10
67.147,228.239,-63.1499,67.6758,10
67.158,228.24,-63.5952,67.5883,10
67.168,228.242,-64.0005,67.5086,10
67.179,228.244,-64.4467,67.4207,10
67.19,228.246,-64.8934,67.3327,10
67.2,228.249,-65.2999,67.2524,10
67.211,228.253,-65.7475,67.164,10
67.221,228.256,-66.1549,67.0834,10
67.232,228.261,-66.6034,66.9946,10
67.242,228.265,-67.0116,66.9137,10
67.253,228.27,-67.4611,66.8244,10
67.263,228.276,-67.8701,66.7431,10
67.274,228.282,-68.3206,66.6535,10
67.284,228.288,-68.7305,66.5718,10
67.295,228.295,-69.1819,66.4818,10
67.305,228.302,-69.5927,66.3998,10
67.316,228.31,-70.0452,66.3093,10
67.327,228.319,-70.4981,66.2186,10
67.337,228.327,-70.9103,66.136,10
67.348,228.337,-71.3642,66.0448,10
67.358,228.346,-71.7774,65.9618,10
67.369,228.357,-72.2324,65.8702,10
67.379,228.367,-72.6465,65.7868,10
67.39,228.379,-73.1025,65.6947,10
67.4,228.39,-73.5175,65.6109,10
67.411,228.403,-73.9746,65.5184,10
67.421,228.415,-74.3906,65.4341,10
67.432,228.429,-74.8488,65.3411,10
67.443,228.443,-75.3075,65.2479,10
67.453,228.457,-75.7251,65.1629,10
67.464,228.472,-76.1849,65.0692,10
67.474,228.487,-76.6035,64.9838,10
67.485,228.503,-77.0644,64.8896,10
67.495,228.519,-77.484,64.8038,10
67.506,228.536,-77.9461,64.709,10
67.516,228.553,-78.3667,64.6227,10
67.527,228.571,-78.8299,64.5275,10
67.537,228.589,-79.2516,64.4407,10
67.548,228.609,-79.716,64.3449,10
67.558,228.627,-80.1387,64.2576,10
67.569,228.648,-80.6043,64.1614,10
67.58,228.669,-81.0705,64.0648,10
67.59,228.689,-81.4949,63.9768,10
67.601,228.712,-81.9623,63.8796,10
67.611,228.733,-82.3878,63.7911,10
67.622,228.757,-82.8564,63.6934,10
67.632,228.779,-83.283,63.6044,10
67.643,228.804,-83.7528,63.5061,10
67.653,228.827,-84.1805,63.4165,10
67.664,228.853,-84.6516,63.3177,10
67.674,228.877,-85.0804,63.2276,10
67.685,228.904,-85.5528,63.1282,10
67.696,228.932,-86.0258,63.0285,10
67.706,228.957,-86.4564,62.9376,10
67.717,228.986,-86.9306,62.8372,10
67.727,229.013,-87.3624,62.7458,10
67.738,229.043,-87.8379,62.6448,10
67.748,229.071,-88.2709,62.5528,10
67.759,229.102,-88.7477,62.4513,10
67.769,229.131,-89.1818,62.3587,10
67.78,229.163,-89.66,62.2565,10
67.79,229.193,-90.0953,62.1633,10
67.801,229.227,-90.5748,62.0605,10
67.811,229.258,-91.0113,61.9667,10
67.822,229.293,-91.4921,61.8633,10
67.833,229.328,-91.9737,61.7595,10
67.843,229.361,-92.412,61.6648,10
67.854,229.397,-92.8949,61.5604,10
67.864,229.431,-93.3345,61.4651,10
67.875,229.469,-93.8187,61.3599,10
67.885,229.504,-94.2595,61.2641,10
67.896,229.543,-94.7451,61.1582,10
67.906,229.579,-95.1872,61.0617,10
67.917,229.619,-95.6742,60.9552,10
67.927,229.656,-96.1175,60.8581,10
67.938,229.697,-96.6059,60.7509,10
67.949,229.739,-97.095,60.6433,10
67.959,229.778,-97.5402,60.5452,10
67.97,229.821,-98.0307,60.4369,10
67.98,229.861,-98.4772,60.3382,10
67.991,229.905,-98.9691,60.2292,10
68.001,229.946,-99.4169,60.1297,10
68.012,229.992,-99.9102,60.02,10
68.022,230.034,-100.361,59.9196,10
68.033,230.084,-100.862,59.8077,10
68.043,230.131,-101.322,59.7047,10
68.054,230.187,-101.833,59.5899,10
68.065,230.244,-102.351,59.4737,10
68.075,230.299,-102.826,59.3667,10
68.086,230.362,-103.353,59.2477,10
68.096,230.421,-103.838,59.1382,10
68.107,230.488,-104.375,59.0164,10
68.117,230.551,-104.869,58.9046,10
68.128,230.623,-105.417,58.7801,10
68.138,230.69,-105.919,58.6659,10
68.149,230.766,-106.477,58.5389,10
68.159,230.836,-106.988,58.4223,10
