time,acc_theta1,acc_theta2,acc_d3,acc_theta4
65.762,-0.687048,1.61161,-1.12384,0.924562
65.772,-0.694871,1.64071,-1.10464,0.945843
65.783,-0.703477,1.67273,-1.08352,0.969254
65.793,-0.711301,1.70184,-1.06432,0.990535
65.804,-0.719907,1.73385,-1.0432,1.01395
65.815,-0.728513,1.76587,-1.02208,1.03736
65.825,-0.736337,1.79497,-1.00288,1.05864
65.836,-0.744943,1.82699,-0.98176,1.08205
65.846,-0.752767,1.8561,-0.96256,1.10333
65.857,-0.761373,1.88811,-0.94144,1.12674
65.867,-0.769197,1.91722,-0.92224,1.14802
65.878,-0.777803,1.94923,-0.90112,1.17143
65.888,-0.785627,1.97834,-0.88192,1.19271
65.899,-0.794233,2.01036,-0.8608,1.21612
65.909,-0.802057,2.03946,-0.8416,1.23741
65.92,-0.810663,2.07148,-0.82048,1.26082
65.93,-0.818487,2.10058,-0.80128,1.2821
